recording,site,event_id,t_start,t_end,n_pulses,gamma_score,cv2_p95,cv2_max,lag1_autocorr,spatial_silhouette,spatial_minority_frac,spatial_interleave,n_concurrent_tracks,reject_reason
flona06-20250915T1529-1_pulses,line_site_1_2,0,2174.512,2174.871,39,0.867,0.691,1.021,0.014,0.625,0.205,0.750,1,"interleaved-2nd-cluster(sil=0.62,min=0.21,il=0.75);overlapping-volley"
flona06-20250915T1529-1_pulses,line_site_1_2,1,2174.901,2175.004,8,0.792,0.639,0.695,-0.431,0.384,0.250,1.000,1,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,2,2175.053,2175.143,9,0.841,0.646,0.665,-0.460,0.559,0.111,1.000,2,"interleaved-2nd-cluster(sil=0.56,min=0.11,il=1.00);overlapping-volley"
flona06-20250915T1529-1_pulses,line_site_1_2,34,2208.932,2208.982,10,0.876,0.912,0.997,-0.490,0.625,0.100,1.000,0,"interleaved-2nd-cluster(sil=0.62,min=0.10,il=1.00)"
flona06-20250915T1529-1_pulses,line_site_1_2,38,2235.050,2235.087,10,0.756,0.795,0.856,-0.120,0.556,0.100,1.000,0,"interleaved-2nd-cluster(sil=0.56,min=0.10,il=1.00);overlapping-volley"
flona06-20250915T1529-1_pulses,line_site_1_2,41,8926.607,8926.701,10,0.891,0.225,0.271,-0.485,0.501,0.100,1.000,0,"interleaved-2nd-cluster(sil=0.50,min=0.10,il=1.00);overlapping-volley"
flona06-20250915T1529-1_pulses,line_site_1_2,50,12077.494,12077.602,12,0.738,1.582,1.612,-0.722,0.741,0.083,1.000,0,"interleaved-2nd-cluster(sil=0.74,min=0.08,il=1.00)"
flona06-20250915T1529-1_pulses,line_site_1_2,67,46132.349,46132.422,10,0.821,1.204,1.260,-0.193,0.688,0.200,0.500,0,"interleaved-2nd-cluster(sil=0.69,min=0.20,il=0.50);overlapping-volley"
flona06-20250915T1529-1_pulses,line_site_1_2,75,47771.961,47771.986,8,0.748,0.691,0.695,-0.566,0.772,0.250,0.500,1,"interleaved-2nd-cluster(sil=0.77,min=0.25,il=0.50);overlapping-volley"
flona06-20250915T1529-1_pulses,line_site_1_2,77,47839.997,47840.117,11,0.826,0.929,0.997,-0.233,0.499,0.455,0.400,0,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,88,53166.212,53166.291,15,0.778,1.399,1.510,-0.496,0.709,0.200,0.667,0,"interleaved-2nd-cluster(sil=0.71,min=0.20,il=0.67)"
flona06-20250915T1529-1_pulses,line_site_1_2,92,68708.039,68708.062,8,0.828,0.325,0.378,0.029,0.376,0.375,0.667,2,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,97,68797.967,68798.080,19,0.796,0.821,0.920,-0.122,0.346,0.211,0.750,0,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,101,70064.338,70065.115,72,0.918,1.110,1.347,-0.153,0.661,0.472,0.029,1,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,118,70263.267,70263.334,9,0.200,0.619,0.684,-0.851,0.342,0.111,1.000,4,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,119,70263.446,70263.604,15,0.750,0.916,0.979,-0.272,0.372,0.467,0.429,4,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,131,70273.360,70273.437,8,0.746,0.904,0.992,-0.688,0.357,0.125,1.000,6,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,137,70274.235,70274.328,8,0.879,1.100,1.180,-0.355,0.716,0.125,1.000,6,"interleaved-2nd-cluster(sil=0.72,min=0.12,il=1.00);overlapping-volley"
flona06-20250915T1529-1_pulses,line_site_1_2,162,71581.947,71582.075,20,0.857,0.701,0.739,-0.714,0.665,0.300,0.167,1,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,167,71653.208,71653.305,11,0.761,0.642,0.732,-0.010,0.377,0.364,0.750,1,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,171,77657.719,77657.928,23,0.704,0.775,1.229,-0.145,0.636,0.348,0.125,1,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,174,77884.361,77884.468,14,0.957,1.038,1.143,-0.411,0.652,0.429,0.167,1,overlapping-volley
flona06-20250915T1529-1_pulses,line_site_1_2,227,138087.805,138088.005,33,0.831,1.194,1.254,-0.356,0.634,0.182,0.500,1,"interleaved-2nd-cluster(sil=0.63,min=0.18,il=0.50)"
flona06-20250919T1626-1_pulses,line_site_1_2,6,12732.590,12732.733,25,0.753,1.282,1.550,-0.656,0.580,0.400,0.300,1,overlapping-volley
flona06-20250919T1626-1_pulses,line_site_1_2,7,32182.536,32183.262,76,0.838,0.643,0.878,0.205,0.497,0.250,0.105,1,overlapping-volley
flona06-20250919T1626-1_pulses,line_site_1_2,8,32183.756,32185.163,113,0.866,0.822,1.204,0.260,0.651,0.274,0.032,4,overlapping-volley
flona06-20250919T1626-1_pulses,line_site_1_2,14,32185.520,32185.599,10,0.876,0.269,0.328,-0.462,0.298,0.400,0.750,4,overlapping-volley
flona06-20250919T1626-1_pulses,line_site_1_2,20,32187.079,32187.268,11,0.830,0.121,0.157,-0.580,0.271,0.455,0.800,5,overlapping-volley
flona06-20250919T1626-1_pulses,line_site_1_2,21,32187.297,32187.510,15,0.950,0.630,0.786,-0.563,0.536,0.267,1.000,5,"interleaved-2nd-cluster(sil=0.54,min=0.27,il=1.00);overlapping-volley"
flona06-20250919T1626-1_pulses,line_site_1_2,23,32187.777,32188.041,14,0.882,0.425,0.464,-0.492,0.555,0.071,1.000,4,overlapping-volley
flona06-20250919T1626-1_pulses,line_site_1_2,35,32189.531,32189.767,13,0.705,0.408,0.463,-0.598,0.567,0.077,1.000,3,overlapping-volley
flona06-20250919T1626-1_pulses,line_site_1_2,41,32190.450,32191.185,50,0.898,0.696,0.886,0.134,0.495,0.120,0.500,3,"interleaved-2nd-cluster(sil=0.50,min=0.12,il=0.50);overlapping-volley"
flona06-20250919T1626-1_pulses,line_site_1_2,46,32191.655,32191.842,13,0.894,0.715,0.876,-0.540,0.611,0.077,1.000,2,overlapping-volley
flona06-20250919T1626-1_pulses,line_site_1_2,51,32193.189,32193.737,37,0.794,0.432,0.466,-0.222,0.850,0.027,1.000,3,overlapping-volley
flona06-20250919T1626-1_pulses,line_site_1_2,56,32195.918,32196.196,18,0.849,0.464,0.552,-0.546,0.361,0.333,0.167,3,overlapping-volley
